URI,Type,Label,Domain,Range,External vocabulary?,Used in data?,Number of triples,Problem,Proposed action
sr:AuthorInSemOpenAlex,Class,Author in SemOpenAlex,TBD,TBD,No,TBD,TBD,"Naming is ambiguous - unclear whether this represents an entity or an external link node; name overlaps with SemOpenAlex but is not SemOpenAlex's own class","Remove and model instead as sr:ExternalLink (target: SemOpenAlex Author IRI)"
sr:ForkedRepository,Class,Forked Repository,TBD,TBD,No,TBD,TBD,"Fork status is modeled as a permanent class, but fork status should be a property (boolean) of Repository, not a separate class","Convert to sr:isFork (xsd:boolean) datatype property on sr:Repository"
sr:GitHubBot,Class,GitHub Bot,TBD,TBD,No,TBD,TBD,"Sits independently from the Person hierarchy - but a bot is also a type of GitHub account, inconsistently placed","Move under new sr:GitHubAccount hierarchy as sr:GitHubBot"
sr:GitHubContributorReference,Class,GitHub Contributor Reference,TBD,TBD,No,TBD,TBD,"Duplicate naming with contributorReference (lowercase); n-ary relation node but lacks SHACL constraints, commit count is not tied to a snapshot","Rename to sr:Contribution, attach to sr:RepositorySnapshot"
sr:GitHubIssueLabelReference,Class,GitHub Issue Label Reference,TBD,TBD,No,TBD,TBD,"Duplicate naming with IssueLabelReference (no 'GitHub' prefix); n-ary node for issue labels but no clear link to a specific issue snapshot in time","Rename to sr:IssueLabel, ensure single canonical name, no duplicate class"
sr:GitHubOrganisation,Class,GitHub organisation,TBD,TBD,No,TBD,TBD,"Duplicate naming with 'organization' (US spelling, different casing); unclear whether Organisation is a GitHub account type or a separate concept","Merge duplicates into single sr:GitHubOrganisation class under new sr:GitHubAccount hierarchy"
sr:GitHubRepositoryIssues,Class,GitHub Repository Issues,"Domain of: hasIssueAuthor, hasIssueLabelReference (Reference object for Issue Labels), dcterms:created, dcterms:title, fabio:hasURL","Range of: hasIssue",No,TBD,TBD,"Duplicate naming with lowercase 'issue' class; CRITICALLY shares rdfs:domain with GitHubBot/ForkedRepository/organization/Package/Person/Repository via fabio:hasURL, dcterms:created and dcterms:title - under OWL semantics this creates unintended class-intersection inferences, reproducing exactly the reasoner bug flagged by Reviewer 1","Rename to sr:Issue; remove fabio:hasURL entirely per plan point 13; replace shared rdfs:domain declarations with SHACL sh:or"
sr:GitHubRepositoryLanguageReference,Class,GitHub Repository Language Reference,TBD,TBD,No,TBD,TBD,"Duplicate naming with 'languageReference'; language usage values (bytes/percentage) are time-dependent but attached directly without snapshot linkage","Rename to sr:LanguageUsage, attach to sr:RepositorySnapshot instead of sr:Repository directly"
sr:PackageUtilisedInACodebase,Class,Package utilised in a Code base.,TBD,TBD,No,TBD,TBD,"Verbose/non-standard label (contains a full sentence with trailing period instead of a concise class name); per Michael's plan point 1, Package should not be included in core model unless explicitly required by a competency question in WP2","Exclude from core ontology pending WP2 decision; document exclusion rationale"
sr:Person,Class,Person,"Domain of: dcterms:created, fabio:hasURL, foaf:accountName, foaf:description, foaf:mbox, foaf:name, hasBlog, hasFollowers, hasLocation, hasPublicRepos, hasTwitterAccount (all shared with unrelated classes via OR, causing OWL intersection); also domain of separate 'Person's type' property","Range of: hasContributor, hasStargazer, hasWatcher, hasIssueAuthor, creatorOfAResource, repositoryForkedBy",No,TBD,TBD,"Single class models every GitHub account type (humans, bots, orgs); role expressed TWICE via contradictory mechanisms - both permanent rdf:type subclasses (Author/Contributor/etc.) AND a separate 'hasPersonType' property; massive domain pollution shared with 6+ unrelated classes causing reasoner intersection bug identical to Reviewer 1's finding","Split into sr:GitHubAccount hierarchy; remove duplicate role-typing property; remove fabio:hasURL; replace shared rdfs:domain with SHACL sh:or"
sr:Author,Class,Author,"SubClassOf: Person only - no independent property domain/range usage found","N/A",No,TBD,TBD,"Orphan subclass - no property in the schema references Author/Contributor/Forker/IssueAuthor/Stargazer/Watcher directly as domain or range; all relevant properties (hasContributor, hasStargazer, etc.) point to generic Person instead, meaning role subclasses are likely only assigned via manual rdf:type on individuals and duplicate the separate 'Person's type' property","Replace fixed role subclasses entirely with either (a) the qualified sr:ExternalLink/role-association pattern, or (b) a single controlled-vocabulary property (e.g. sr:hasPersonType with SKOS concepts) - not both; apply same decision to Contributor, Forker, IssueAuthor, Stargazer, Watcher"
sr:Contributor,Class,Contributor,"SubClassOf: Person only",N/A,No,TBD,TBD,"Same orphan-subclass pattern as sr:Author","See sr:Author - single consistent decision to apply to all 6 role subclasses"
sr:Forker,Class,Forker,"SubClassOf: Person only",N/A,No,TBD,TBD,"Same orphan-subclass pattern as sr:Author","See sr:Author"
sr:IssueAuthor,Class,Issue Author,"SubClassOf: Person only",N/A,No,TBD,TBD,"Same orphan-subclass pattern as sr:Author","See sr:Author"
sr:Stargazer,Class,Stargazer,"SubClassOf: Person only",N/A,No,TBD,TBD,"Same orphan-subclass pattern as sr:Author","See sr:Author"
sr:Watcher,Class,Watcher,"SubClassOf: Person only",N/A,No,TBD,TBD,"Same orphan-subclass pattern as sr:Author","See sr:Author"
sr:repository,Class,repository,TBD,TBD,No,TBD,TBD,"Lowercase duplicate of sr:Repository - likely an accidental leftover from early ontology drafts or inconsistent naming convention across contributors","Delete entirely; consolidate all usage into single sr:Repository class"
sr:organization,Class,organization,TBD,TBD,No,TBD,TBD,"Duplicate of GitHub organisation (US vs UK spelling, different casing) - same concept modeled twice under two names","Delete; consolidate into single sr:GitHubOrganisation class"
sr:IssueLabelReference,Class,IssueLabelReference,TBD,TBD,No,TBD,TBD,"Duplicate of GitHubIssueLabelReference (missing 'GitHub' prefix) - same naming inconsistency pattern seen elsewhere","Delete; consolidate into single sr:IssueLabel class per earlier decision"
sr:contributorReference,Class,contributorReference,TBD,TBD,No,TBD,TBD,"Duplicate of GitHubContributorReference (lowercase, no prefix) - same naming inconsistency pattern","Delete; consolidate into single sr:Contribution class per earlier decision"
sr:languageReference,Class,languageReference,TBD,TBD,No,TBD,TBD,"Duplicate of GitHubRepositoryLanguageReference (lowercase, no prefix) - same naming inconsistency pattern","Delete; consolidate into single sr:LanguageUsage class per earlier decision"
sr:RepositoryTopic,Class,Repository Topic,TBD,TBD,No,TBD,TBD,"Topic as a class rather than a controlled vocabulary/string value; unclear whether topics are free-text GitHub tags or a curated taxonomy","Clarify via WP2 competency questions whether Topic needs to be a first-class entity (e.g. for topic-based querying) or can be a simple xsd:string property on RepositorySnapshot"
sr:Repository,Class,Repository,"Domain of: creatorOfAResource, hasIssue, hasLpwcRepositoryUrl, hasMlseaSoftwareEntityUrl, hasSoaAuthorUrl, hasStargazer, hasWatcher, referenceObjectForContributor, repositoryForkedAs, utilisedPackage, dcterms:abstract, dcterms:title (shared), fabio:hasURL (shared with 6 others), hasTotalForks/hasTotalOpenIssues/hasTotalStargazers/hasTotalWatchers (shared with ForkedRepository)","N/A",No,TBD,TBD,"CONFIRMS plan point 4: mutable counts (stars/forks/watchers/open issues) attached directly to Repository instead of a Snapshot; also confirms plan point 6: hasLpwcUrl/hasMlseaUrl/hasSoaUrl are direct properties instead of qualified ExternalLink nodes; participates in the fabio:hasURL intersection bug as the 7th affected class; hasTotalForks oddly duplicated between Repository and ForkedRepository suggesting two conflicting count sources","Split into sr:Repository (stable identity only: githubRepositoryId, canonicalUrl, createdAt) + sr:RepositorySnapshot (all counts, dates, description); replace hasLpwcUrl/hasMlseaUrl/hasSoaUrl with sr:ExternalLink; remove fabio:hasURL"
sr:RepositoryInLPWC,Class,Repository in LinkedPapersWithCode,"N/A","Range of: hasLpwcRepositoryUrl",No,TBD,TBD,"Architecturally incorrect: SemRepo defines its own local proxy class to represent an external LPWC entity instead of simply linking to LPWC's own IRI; blurs ontology boundary between SemRepo's domain and external KGs","Remove class entirely; sr:ExternalLink's linkTarget should point directly to the external LPWC IRI without asserting a local rdf:type"
sr:SoftwareEntities,Class,Software entities,"N/A","Range of: hasMlseaSoftwareEntityUrl",No,TBD,TBD,"Same architectural flaw as Repository in LinkedPapersWithCode, but for MLSea-KG; also has a typo in its own rdfs:comment ('entitiy')","Remove class entirely; use sr:ExternalLink targeting MLSea-KG IRI directly"
sr:hasContributorReference,Class,hasContributorReference,"N/A","Range of: 'Reference object for Contributor' property",No,TBD,TBD,"Misleadingly named as if it were a property (has... prefix) but is actually declared as a Class, used as Range of a separate property called 'Reference object for Contributor'; duplicates/conflicts with already-catalogued GitHubContributorReference and contributorReference classes - THREE different class names for what should be one sr:Contribution concept","Delete; consolidate all three (hasContributorReference, GitHubContributorReference, contributorReference) into single sr:Contribution class"
sr:hasIssueLabelReference,Class,hasIssueLabelReference,"N/A","Range of: 'Reference object for Issue Labels' property",No,TBD,TBD,"Same misleading-name-as-class pattern as hasContributorReference; a THIRD duplicate alongside GitHubIssueLabelReference and IssueLabelReference for the same concept","Delete; consolidate all three into single sr:IssueLabel class"
N/A,Ontology-wide issue,Inconsistent class typing (rdf:Class vs owl:Class),"N/A","N/A",No,TBD,TBD,"9 classes (Author, Contributor, Forker, GitHub Bot, GitHub organisation, Issue Author, Person, Stargazer, Watcher) are typed as rdf:Class instead of owl:Class; non-standard for an OWL ontology and may prevent reasoners from treating them as full OWL classes","When rebuilding in semrepo-v2.ttl, declare every class consistently as owl:Class; add a test/SHACL check that verifies no class uses rdf:Class as its type"
