ID,Reviewer,Comment summary,Severity,Confirmed by our audit?,Related WP,Planned action
R1-01,Reviewer 1,"Endpoint triple/repo/MLSea counts do not match paper (post-rebuttal: 35.3M triples, was expecting 81.5M)",Critical,"Yes - endpoint currently shows 35,264,649 triples / 952 repos / 590 MLSea links (WP1.3/1.4 audit)",WP4 + WP5,"Rebuild pipeline with verified deployment step; add automated pre-release check comparing dump vs endpoint counts before any release is published"
R1-02,Reviewer 1,fabio:hasURL used as general-purpose property on Person/Bot; FaBiO declares domain frbr:Endeavour causing incorrect reasoner inference,Critical,"Yes - confirmed via Protégé Usage tab; property shared as rdfs:domain across 7 unrelated classes (WP1.3)",WP3,"Remove fabio:hasURL/hasUrl entirely; replace with schema:url or sr:canonicalUrl per 15-point plan point 13"
R1-03,Reviewer 1,fabio:hasUrl (lowercase) vs fabio:hasURL (correct casing) inconsistently used,Critical,"Yes - dump: hasURL 197,566 vs hasUrl 7,786,024; bug exists in dump itself, traced to RDF_Graphing.py (WP1.4)",WP3 + WP4,"Fix casing in new pipeline; add unit test asserting only correct external-vocabulary casing is ever emitted"
R1-04,Reviewer 1,Could not locate MLSea linking function in source code (only connect_lpwc_and_soa found),Critical,"Yes - confirmed, no MLSea module exists anywhere in making-repo-metadata-kg/ (WP1 overview)",WP4,"Build a real, documented, testable MLSea-KG linking module from scratch; do not reuse undocumented 148,186 links without knowing their origin"
R1-05,Reviewer 1,Shallow URL deduplication (filename collision only); GitHub renames/transfers bypass dedup causing duplicate entities,Critical,Not yet directly tested - flagged as a WP4 investigation item,WP4,"Design deduplication based on GitHub's stable numeric repository ID (per 15-point plan point 3), not URL strings or filenames"
R1-06,Reviewer 1,No SHACL shapes found despite paper claiming schema/consistency checks were performed,Critical,"Yes - confirmed, no SHACL files found in repo structure (WP1 overview file listing)",WP3,"Author SHACL shapes for every core class as specified in the 15-point plan (point 12); this is a hard release gate going forward"
R1-07,Reviewer 1,Hardcoded caps on stars/watchers/forks/issues (10k/10k/1k/20k) undocumented in paper,High,Not yet directly re-verified in current source,WP1.2/WP4,"Locate current equivalent in crawler.py; if limits remain necessary, make them configurable and explicitly documented in release notes (per working rule 7)"
R1-08,Reviewer 1,RRS normalization (division by 3) never explained; risk category boundaries undefined,High,Not yet re-verified (relates to usecase/ notebook),WP6,"If RRS/reproducibility-auditing use case is retained, document and justify all thresholds and normalization steps explicitly"
R1-09,Reviewer 1,Multiple incorrect bibliography entries (wrong DOIs, unverifiable references),High,Not applicable to audit (paper-writing issue),WP7,"Triple-check every reference before any resubmission, per metareview's explicit request from Silvio Peroni"
R1-10,Reviewer 1,Numerical inconsistencies in paper text (6% vs actual 0.41%; 82,078,636 vs ""81.5 million""),Medium,"Yes - confirmed both figures appear in paper, dump matches the 82,078,636 figure (WP1.4)",WP7,"Recompute all reported statistics automatically from the final release artifact before writing the paper; never hand-type numbers (per working rule 4)"
