File,Purpose,Input,Output,Called by,External dependency,Works?,Test available?,Reuse decision,Notes
crawling-gitHub-metadata/main.py,Orchestrates per-repo crawl: token rotation + calls all crawler.py functions + writes per-repo JSON,"github_links/*.pkl, tokens/tokens.pkl",Per-repo JSON files,Standalone entrypoint,requests,Yes (author confirmed it ran at scale),No,Rewrite (orchestration logic) / Reuse (token-rotation + retry logic),"Hard-coded absolute paths (/home/abra165f/...); dedup via `{author}_{repo}_repo.json` filename match against already-saved files -- exactly the URL-string dedup the proposal bans; broad try/except around entire per-repo block silently drops partial failures with no completeness record"
crawling-gitHub-metadata/modules/crawler.py,"Individual GitHub data getters: author, about/topics/languages (HTML scrape), stars, watchers, forks, contributors, issues, README",Repo URL + token,Python dicts/lists,main.py,"requests, BeautifulSoup",Partially -- HTML-scraped fields (about/topics/languages) are fragile to GitHub page structure changes,No,Reuse selectively per function,"get_repo_name_username() is regex-only, no canonical-ID resolution or redirect handling -- source of the 'must not reuse' URL matching; get_forks/get_contributors/get_issues DO paginate correctly (page+=1 loops) -- good candidates for reuse; max_forks/max_contributors/max_issues are hard-coded function defaults, never overridden at the call site; get_languages scrapes HTML percentage chips instead of GET /repos/{o}/{r}/languages (byte counts) -- confirms why v1 has no byte-level language data, validates our WP3 languageBytes design choice over the old approach"
crawling-gitHub-metadata/modules/utils.py,Small formatting helpers (labels/assignees/reactions),Raw API JSON fields,Formatted strings/lists,crawler.py,None,Yes,No,Reuse,Trivial pure functions -- lowest-risk reuse candidate
crawling-gitHub-metadata/logger.py,Logger setup,Log file path,Configured logger,main.py,Python logging,Yes,No,Reuse,Only module in the pipeline with proper logging discipline
making-repo-metadata-kg/main.py,Orchestrates JSON-to-RDF conversion + LPWC/SOA linking across all crawled files,"Per-repo JSON files, LPWC .nt dump",Single serialized .nt graph file,Standalone entrypoint,rdflib,Yes,No,Rewrite,"Uses print() not logger (inconsistent with crawling module); hard-coded absolute paths; calls connect_lpwc_and_soa() once per repo inside a nested folder/file loop -- see RDF_Graphing.py + Connect_to_LPWC_and_SOA row for why this is a scalability problem"
making-repo-metadata-kg/modules/RepoJson_to_RDF/RDF_Graphing.py,Converts one repo's JSON into RDF triples for all entity types,Per-repo JSON dict,rdflib Graph triples,making-repo-metadata-kg/main.py,rdflib,Yes (runs) but produces the confirmed hasUrl/hasURL bug,No,Rewrite,"CONFIRMED at line level: line 10 uses FABIO.hasURL (correct) for Repository only; lines 79/104/135/148/163/185/196/222/254/262 (10 call sites) use FABIO.hasUrl (wrong casing) for organization/person/forked_repo/bot/issue -- exact source of the WP1 domain-intersection bug, looks like a copy-paste-propagated typo from a single original error"
making-repo-metadata-kg/modules/Connect_to_LPWC_and_SOA/main.py,Links a repo to its LPWC record and (if exact name match) a SemOpenAlex author,"repo URL, author name, LPWC .nt file path",hasLpwcUrl / hasSoaUrl triples,making-repo-metadata-kg/main.py,None (raw file I/O),Yes (runs) but see performance note,No,Rewrite,"CONFIRMED: no MLSea logic anywhere in this file -- matches WP1 finding exactly; author matching is exact full-string equality (author_name_obj == author_name) -- exactly the 'exact-name matching as identity' the proposal bans; PERFORMANCE: does a fresh line-by-line scan of the entire LPWC .nt file for every single repo (called from a per-repo loop in main.py) -- O(repos x lpwc_lines), likely a major contributor to the pipeline being slow/incomplete at 200k-repo scale"
making-repo-metadata-kg/modules/Utils/constants.py,"Namespace prefixes, empty base Graph object",--,Constants used across module,"RDF_Graphing.py, Connect_to_LPWC_and_SOA/main.py",rdflib,Yes,No,Reuse (after auditing prefix list against our v2 ontology namespace),Worth checking for the same fabio:accountName-style prefix confusion found during WP1 SPARQL audit
making-repo-metadata-kg/modules/Utils/utils.py,make_uri() and similar URI-construction helpers,"Entity type, identifier",URIRef,"RDF_Graphing.py, Connect_to_LPWC_and_SOA/main.py",rdflib,Yes,No,Reuse (after confirming URI pattern matches v2 identifier policy),Not yet checked against WP5's planned identifier policy
extract-libraries-from-code/main.py,Extracts imported libraries/packages from repo source code,Repo contents,Package/library list,Standalone entrypoint,Not yet reviewed in detail,Not yet reviewed,No,Not yet decided,Deferred -- not on critical path for WP4 pipeline audit this week
extract-libraries-from-code/repo_utils.py,Helper functions for the above,--,--,extract-libraries-from-code/main.py,Not yet reviewed,Not yet reviewed,No,Not yet decided,Deferred
make-package-kg/main.py,Builds package-level KG from extracted libraries,Library list,RDF triples,Standalone entrypoint,Not yet reviewed in detail,Not yet reviewed,No,Not yet decided,Deferred -- out of scope for v2's non-goals unless a CQ needs it
